KENYA PROVIDERS,county,Specialty,Location
,,,
Baringo,,,
Barnet Memorial Hospital,Baringo,Hospital,"Stadium Road, Kabarnet"
,,,
Bomet,,,
Tenwek Hospital,Bomet,Hospital,Bomet-Silibwet Road
,,,
Bungoma,,,
St. Damiano Medical Centre,Bungoma,Hospital,Mumias-Bungoma Road
Elgonview Medical Cottage,Bungoma,Hospital,"Mumias Road,Next to Tourist Hotel"
Friends Mission Hospital - Lugulu,Bungoma,Hospital,Lugulu Town
Lumboka Hospital,Bungoma,Hospital,Bungoma
,,,
Busia,,,
Tanaka Nursing Home,Busia,Hospital,Along Kisumu-Busia Road
Apex Healthcare,Busia,Hospital,Malaba
,,,
Embu,,,
Dr. Mushtaq Muhammad,Embu,Physcian,"Mama Ngina Street,N ext to Thagamu House"
Joykim Clinic,Embu,Hospital,Mama Ngina Street
Joykim Nursing Home,Embu,Hospital,"Majimbo, Opp. Embu G.K Prisons, off Embu-Kiritiri Road"
Kirimara Opticians,Embu,Opticians,Kubu-kubu Road
Tenri hospital,Embu,Hospital,Cathy Plaza
Dr Martin Chambi,Embu,Cons Paediatrician,KCB building
Dr Mutune,Embu,E.N.T Surgeon,Neema Plaza - 1st Floor Rm 103
Dr Kamau,Embu,Consultant Gynaecologists,EMCO Building -2nd Floor RM 211
Jabez pharmacy,Embu,Pharmacy,Next to Equity Bank
liberty Maternity ANd Nursing Home,Embu,Nursing Home,Embu - Meru Highway Adjacent Mini Inn
,,,
Garissa,,,
Islamic African Relief Agency,Garissa,Hospital,"Miraa Road, Garissa"
Garissa Nursing Hospital,Garissa,Hospital,Garissa town
Alliance Medical Centre Ltd,Garissa,Hospital,Garissa
Excel Health Services,Garissa,Hospital,
,,,
Homa Bay,,,
St. Judeâ€™s Clinic I.C.I.P.E,Homa Bay,Hospital,Mbita Town
,,,
Isiolo,,,
Isiolo Medical Centre,Isiolo,Hospital,Behind Bomen Hotel
Clinix healthcare,Isiolo,Clinic,"Saada arcade, wandani house"
Clinix Healthcare-Jinja,Jinja,Clinic,Railway Station
,,,
Kajiado,,,
Athi River Medical Services Ltd.,Kajiado,Hospital,Athi River
Clinix heathcare,Kajiado,Clinic,Daystar University Athiriver Campus
Athi river shalom hospital,Kajiado,Hospital,Next to Bamburi Cement
Meridian Medical center,Kajiado,Clinic,Milele Center Ground Flr
Aga Khan - Kitengela Medical Centre,Kajiado,Clinic,"Ground Floor,Milele Centre Kajiado Road"
Oltau Heart Centre,Kajiado,Clinic,Tarikiville 1st Floor Kitengela
,,,
Kakamega,,,
Kakamega Highway Hospital,Kakamega,Hospital,Sudi Road
Nala Maternity & Nursing Home,Kakamega,Hospital,"Muruli Road, Kakamega"
"St. Marys Hospital, Mumias",Kakamega,Hospital,Mumias
Clinix Healthcare,Kakamega,Clinic,Kalibo House Off Mumias Bungoma Road.
Sonar imaging centre,Kakamega,cardio- Physcian,"Mega Mall, Mezanine floor, left wing"
,,,
Kampala,,,
Clinix Healthcare- Kampala,Kampala,Clinic,Mukororo Road
,,,
Kericho,,,
Siloam Hospital,Kericho,Hospital,Next to District Hospital
Adakim Chemist (2010) Ltd,Kericho,Chemist,Kericho Town
Xpert Eyecare,Kericho,Opticians,"Modern Mall,Tengecha lane opp Sunshine Hotel"
Kericho Outpatient Medical Clinic,Kericho,Hospital,
,,,
Kiambu,,,
Aga Khan University Medical Clinic,Kiambu,Clinic,Standard Chartered Building
Meridian Medical Centre,Kiambu,Clinic,"Thika Arcade, Ground Flr, Kenyatta Ave"
Central Memorial Hospital,Kiambu,Hospital,Upper Road
Naidu Hospital,Kiambu,Hospital,"Haile selasie Road, Next to Chania Girls"
Thika Dental Care Centre,Kiambu,Dental Surgeons,"Tabby House, 1st Floor, Rooms 23 & 34"
Thika Chemist (K) Ltd.,Kiambu,Chemist,"Uhuru Street,"
Baus Optical,Kiambu,Opticians,Marafique Arcade ground flr opp Tuskys
,,,
Kilifi,,,
Tawfiq Hospital,Kilifi,Hospital,Malindi Town
Star Hospital Malindi,Kilifi,Hospital,Off Jomo Kenyatta RD
Wananchi Maternity And Nursing Home,Kilifi,Nursing Home,kilifi Town
,,,
Kirinyaga,,,
ACK Mt. Kenya Hospital,Kirinyaga,Hospital,"Kerugoya-Karatina Rd, Kerugoya Town"
Kerugoya Medical Centre,Kirinyaga,Hospital,Kerugoya-Karatina Rd
Focus clinical and diagnostic Centre,Kirinyaga,Clinic,Mutige Kiboti building ground floor
,,,
Kisii,,,
