,PHARMACIES,,,,
,,,,,
No,NAMES,E-mail,Phone number,Type of Service,LOCATION
1,TETA PHARMACY,tetapharmacy@gmail.com,+250788460549,Dispensing Medicines,KIMIRONKO
2,SABANS PHARMACY (REMERA),sabans.pharmacy@yahoo.com,(+250)788394007,Dispensing Medicines,REMERA
3,SANA PHARMACY,pharmacysana@gmail.com,+250788687992,Dispensing Medicines,NYARUGENGE
4,PHARMASAVE,gahongayiremo@yahoo.fr;pharmasaverwanda@gmail.com,+250788421118,Dispensing Medicines,KACYIRU
5,SANOPHAR,sanophar.pharmacy@gmail.com,+250788439891,Dispensing Medicines,KIMISAGARA
6,PHARMACIE IRAMIRO,bizimungudavid8@gmail.com,+250788302337,Dispensing Medicines,NYAMIRAMBO
7,PHARMACIE SHEMA,pharmacieshema@gmail.com,"""+250785740998",Dispensing Medicines,NYARUGENGE
8,BOVAN PHARMACY,bovanltd@gmail.com,'+250788358085,Dispensing Medicines,NYABUGOGO
9,LE NORMAL PHARMACY,lenpharmacy@gmail.com,+250788601460,Dispensing Medicines,GIKONDO
10,SCORE PHARMACY,scorepharmacy@gmail.com,+250783448585,Dispensing Medicines,NYARUGENGE
11, MEDIASOL PHARMACY,nyarugenge@mediasolpharma.com,"""+250788824506",Dispensing Medicines,REMERA
12,UNIPHARMA,unipharma@kiphagro.net,+250783390461,Dispensing Medicines,NYARUGENGE
13,LA DIVINE,ladivaphar@gmail.com,+250788769907,Dispensing Medicines,NYARUGENGE
14,BENI PHARMACY,pharmabeni@gmail.com,+250788842466,Dispensing Medicines,KACYIRU
15,ALLIANCE PHARMACY,nsedamas@gmail.com;alliancepharmacy8@gmail.com,+250788795053,Dispensing Medicines,NYARUGENGE
16,VINE PHARMACY,vinepharmacyrwkh@gmail.com,+250788523498,Dispensing Medicines,REMERA
17,UNIQUE PHARMACY,pharmacieunique@yahoo.fr,+250788354212,Dispensing Medicines,REMERA
18,UMURAVA PHARMACY,umuravapharmacy@yahoo.fr,+250788539713,Dispensing Medicines,NYAMIRAMBO
19,PHARMACIE REFFERENCE,,+250788433705,Dispensing Medicines,KICUKIRO
20,RAINBOW PHARMACY,rutigervis@yahoo.fr,+250788528059,Dispensing Medicines,NYARUGENGE
21,SEMU PHARMACY,semupharmacy@gmail.com,+250788679787,Dispensing Medicines,KICUKIRO
22,BUPHARMA PHARMACY KIGALI,,+250781198367,Dispensing Medicines,NYARUGENGE
23,DELIGHT PHARMACY,delightpharmacy@gmail.com,+250788565194,Dispensing Medicines,REMERA
24,PHARMACIE EZA,ezapharmacy2013@gmail.com,(+250)785022763,Dispensing Medicines,KIYOVU
25,HEALTHLINE PHARMACY,healthlinepharmacyltd@gmail.com,+250784129559,Dispensing Medicines,GASABO
26,ISHYAKA PHARMACY,kayibaba@yahoo.fr,+250788554512,Dispensing Medicines,REMERA
27,SUNBEAM PHARMACY,sunbeampharm@gmail.com,+250788425010,Dispensing Medicines,NYARUGENGE
28,RAVI PHARMACY(SABANS PHARMACY RWANDEX),virutaganda@yahoo.fr,+250788532338,Dispensing Medicines,KICUKIRO
29,GALEAD PHARMACY,pharmacygalead@yahoo.com,+250788566727,Dispensing Medicines,KICUKIRO/MASAKA
30,REGO,,+250788833514,Dispensing Medicines,KICUKIRO
31,SPERANZA PHARMACY,,+250788791642,Dispensing Medicines,REMERA
32,CARREFOUR PHARMACY,gahongayiremo@yahoo.fr,+250788561497,Dispensing Medicines,NYARUGENGE
