S/No.,PPO Name,Physical Adress,Services Provided
DAR ES SALAAM,,,
1,The Aga Khan Hospital,Along Obama Road,OP/IP
2,Sali International Hospital,Masaki,OP/IP
3,Premier Care Clinic,Masaki,OP
4,Premier Care Clinic,Namanga,OP
5,London Health Centre,Msasani,OP/IP
6,International Eye Hospital,Along New Bagamoyo Road,Optical/Opthalmolgy
7,Aga Khan Medical Centre-Mbezi Beach,Mbezi beach,OP
8,Aga Khan Medical Centre-City Centre,City Centre,OP
9,Aga Khan Medical Centre-Tabata,Tabata,OP
10,Aga Khan Medical Centre-Masaki,Masaki,OP
11,Aga Khan Medical Centre-Ukonga,Ukonga,OP
12,Aga Khan Medical Centre-Mbagala,Mbagala,OP
13,Aga Khan Medical Centre-Mikocheni,Mikocheni,OP
14,Aga Khan Medical Centre-Tandika,Tandika,OP
15,Aga Khan Medical Centre-Kigamboni,Kigamboni,OP
16,Aga Khan Medical Centre-Kimara,Kimara Mwisho,OP
17,Aga Khan Medical Clinic-Bunju,Bunju A,OP
18,TMJ Hospital,Mikocheni,OP/IP
19,Tanzania Occupational Health Services,Tazara,OP/IP
20,Ebrahim Haji Hospital,City Centre,OP/IP
21,Msasani Peninsula Hospital,Msasani,OP/IP
22,CCBRT,Msasani,OP/IP
23,Regency Medical Centre,Upanga,OP/IP
24,Kairuki Hospital (Mikocheni Mission Hospital),Mikocheni,OP/IP
25,Alshifa Limited,Mikocheni,OP
26,Sandarya Health Centre,Bunju A,OP/IP
27,Mount Ukombozi Hospital,Kinondoni-Morocco,OP/IP
28,ALEXIA MEDICAL HOSPITAL,Kigamboni-Tuangoma,OP/IP
29,Navan Health Center,Kigamboni-Kibada,OP
30,Bochi Hospital,Mbezi-Kwa Msuguri,OP/IP
31,Marie Stopes Mwenge Hospital,Mwenge,OP/IP
32,Marie Stopes Kimara Dispensary,Kimara-Butcher,OP
33,Marie Stopes Mabibo Dispensary,Mabibo-Bus stand,OP
34,Marie Stopes Temeke Dispensary,Temeke-Sokota,OP
35,Eye Emporium Limited,City Centre,Optical
36,Eye Emporium Limited,Quality Centre,Optical
37,Eye Emporium Limited,Masaki,Optical
38,Eye Emporium Limited,Mlimani City,Optical
39,Msimbazi Eye & Vision Care Ltd,msimbazi,OP
40,Doctors Plaza Polyclinic(Conservation house 2nd floor),Kinondoni Morocco,OP
41,Lancet Laboratories(Conservation house 2nd floor),Kinondoni Morocco,OP
42,B&B Specialized Clinic,Goba Chaulembo,OP
43,Tindwa Medical and Health services Limited,Mikocheni,Rescue
44,Radtech Diagnostic and Medical Clinic,Ilala Bungoni,OP
45,Jakaya Kikwete Cardiac Institute,Upanga,OP/IP
46,Besta Diagnostic Centre,Kinondoni,Diagnostic Services
47,Arafa Upendo Medical Centre,Temeke,OP/IP
